cp;cantidad_viviendas;plazas_totales;plazas_medias;superficie_total;superficie_media;num_municipios_distintos
03001;214;951;4;25634,66;119,788;1
03002;784;2923;3;104394;135,225;1
03003;271;953;3;48245;178,026;1
03004;405;1905;4;46587;115,314;2
03005;91;403;4;9213;101,242;1
03006;14;55;3;1266;90,429;1
03007;53;203;3;19802;380,808;1
03008;33;156;4;3368;102,061;1
03009;55;276;5;5898;109,222;1
03010;59;308;5;5513;93,441;1
03011;11;51;4;1495;135,909;1
03012;198;812;4;17024;85,98;1
03013;198;966;4;19491;98,939;1
03014;7;34;4;587;83,857;1
03015;12;106;8;2793;232,75;1
03016;166;727;4;17362;105,224;1
03100;10;78;7;2197;244,111;1
03108;4;26;6;481;120,25;1
03109;6;36;6;898;149,667;1
03110;207;1233;5;37226;180,709;2
03111;83;554;6;17166;211,926;1
03112;4;32;8;1496;374;1
03114;5;34;6;717;143,4;1
03115;1;6;6;172;172;1
03130;3031;14177;4;272423,85;90,087;1
03138;17;103;6;1574;98,375;1
03139;10;88;8;2926;325,111;1
03140;270;1289;4;24145;90,093;1
03149;8;40;5;911;113,875;2
03150;21;106;5;2343;137,824;1
03158;5;28;5;864;172,8;1
03159;14;84;6;1982;141,571;1
03160;11;50;4;1331;121;1
03169;22;112;5;2826;128,455;2
03170;909;4797;5;121708;134,336;1
03176;2;10;5;222;111;1
03177;292;1546;5;35233;122,337;2
03178;14;68;4;1756;125,429;1
03179;27;107;3;2643;97,889;1
03180;5853;22414;3;408709,29;69,877;1
03181;302;1167;3;22046;73,243;1
03182;762;2799;3;50519;66,56;1
03183;901;3694;4;76103,55;84,748;1
03184;281;1336;4;26032;92,641;1
03185;928;3981;4;82154;90,578;2
03186;172;915;5;15796;131,633;2
03187;89;498;5;10152,36;115,368;1
03188;530;2045;3;35847;67,892;1
03189;2690;12372;4;259420,7;100,434;2
03190;356;1645;4;31302;88,424;1
03191;383;1790;4;34862;91,023;2
03193;231;1138;4;29313;128,004;2
03194;67;282;4;5368;119,289;1
