L'ATZÚBIA;03001;ALICANTE;29;194;6;210,586;1
AGOST;03002;ALICANTE;8;40;5;357,875;1
AGRES;03003;ALICANTE;8;27;3;427,875;1
AIGÜES;03004;ALICANTE;32;185;5;163,367;1
ALBATERA;03005;ALICANTE;4;18;4;115,75;1
ALCALALÍ;03006;ALICANTE;54;320;5;196,585;3
ALCOSSER;03007;ALICANTE;1;5;5;171;1
ALCOLEJA;03008;ALICANTE;1;4;4;304;1
ALCOI/ALCOY;03009;ALICANTE;29;112;3;105,69;3
ALFAFARA;03010;ALICANTE;4;16;4;308,25;1
L'ALFÀS DEL PI;03011;ALICANTE;1003;4317;4;780,272;4
ALGORFA;03012;ALICANTE;23;114;4;104,696;2
ALGUEÑA;03013;ALICANTE;2;13;6;99,5;1
ALACANT / ALICANTE;03014;ALICANTE;3137;13427;4;126,507;23
ALMORADÍ;03015;ALICANTE;12;58;4;164,25;2
ALTEA;03018;ALICANTE;1672;8296;4;159,902;2
ASPE;03019;ALICANTE;5;27;5;169;1
BANYERES DE MARIOLA;03021;ALICANTE;13;63;4;184,231;1
BENEIXAMA;03023;ALICANTE;3;10;3;77;2
BENEJÚZAR;03024;ALICANTE;2;12;6;448;1
BENFERRI;03025;ALICANTE;2;10;5;116;1
BENIARBEIG;03026;ALICANTE;35;187;5;175,735;1
BENIARDÀ;03027;ALICANTE;3;17;5;218;1
BENIARRÉS;03028;ALICANTE;5;20;4;414;1
BENIGEMBLA;03029;ALICANTE;15;84;5;183;1
BENIDOLEIG;03030;ALICANTE;37;244;6;234,811;1
BENIDORM;03031;ALICANTE;5644;19573;3;98,522;4
BENIJÓFAR;03034;ALICANTE;14;68;4;125,429;1
BENILLOBA;03035;ALICANTE;1;12;12;178;1
BENIMANTELL;03037;ALICANTE;36;162;4;194,361;1
BENIMELI;03040;ALICANTE;5;27;5;206;1
BENISSA;03041;ALICANTE;1188;8047;6;245,48;2
EL POBLE NOU DE BENITATXELL;03042;ALICANTE;733;4044;5;157,512;1
BIAR;03043;ALICANTE;19;118;6;190,789;1
BIGASTRO;03044;ALICANTE;5;34;6;257,2;1
BOLULLA;03045;ALICANTE;8;62;7;226,375;1
BUSOT;03046;ALICANTE;88;583;6;217,035;2
CALP;03047;ALICANTE;5377;24090;4;127,785;1
CALLOSA D’EN SARRIÀ;03048;ALICANTE;25;185;7;279,913;2
CALLOSA DE SEGURA;03049;ALICANTE;2;6;3;75;1
EL CAMPELLO;03050;ALICANTE;1902;9528;5;585,96;1
CAÑADA;03052;ALICANTE;1;10;10;261;1
CASTALLA;03053;ALICANTE;19;105;5;184,053;1
CASTELL DE CASTELLS;03054;ALICANTE;4;22;5;179,25;1
CATRAL;03055;ALICANTE;5;28;5;172,8;1
COCENTAINA;03056;ALICANTE;8;50;6;227,5;1
CONFRIDES;03057;ALICANTE;4;31;7;325;1
COX;03058;ALICANTE;3;32;10;319;1
CREVILLENT;03059;ALICANTE;1;4;4;83;1
QUATRETONDETA;03060;ALICANTE;3;24;8;253,667;1
DAYA NUEVA;03061;ALICANTE;14;84;6;141,571;1
