FECHA_CSV;SIGNATURA;NOMBRE;DIRECCION;CP;PROV_CODIGO;PROVINCIA;MUNI_CODIGO;MUNICIPIO;COMARCA;EMAIL;TELEFONO;FAX;WEB;ACTIVIDADES;EN_LOCALIDADES
26/01/2025 1:00;CVTA00001 A;VOLTOUR BIKE EXPERIENCE;POLÍGONO INDUSTRIAL COTES BAIXES CALLE B, NAVE 1D;3804;3;ALICANTE;9;ALCOI/ALCOY;L'ALCOIA;info@voltour.com;965271791;;http://voltour.com;;Agres (ALICANTE), Alcoi/Alcoy (ALICANTE), El Castell de Guadalest (ALICANTE), L'Orxa/Lorcha (ALICANTE), Cabanes (CASTELLÓN), Alboraia/Alboraya (VALENCIA)
26/01/2025 1:00;CVTA00002 A;CENTRO DE BUCEO PELICAR;PUERTO DE JAVEA, MUELLE NORTE, S/N;3730;3;ALICANTE;82;XÀBIA/JÁVEA;LA MARINA ALTA;pelicarbuceo@gmail.com;96 646 21 83;96 646 21 83;www.buceopelicar.com;;Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00003 A;CELACANTO;CALLE SARDINAL, EDIFICIO SAN RAFAEL, 2;3590;3;ALICANTE;18;ALTEA;LA MARINA BAIXA;curso@buceoaltea.com;607 23 93 78;965845081;https://buceoaltea.com;;Altea (ALICANTE), Benidorm (ALICANTE)
26/01/2025 1:00;CVTA00004 A;NUEVO ALPINISMO MONTAÑA MEDITERRANEA;CALLE SANTA ANA, 5-2;3204;3;ALICANTE;65;ELX/ELCHE;EL BAIX VINALOPO;montana.mediterranea@gmail.com;659269169;966695782;http://montana-mediterranea.com;;Albatera (ALICANTE), Alcoi/Alcoy (ALICANTE), Callosa de Segura (ALICANTE), Calp (ALICANTE), Castalla (ALICANTE), Crevillent (ALICANTE), Orihuela (ALICANTE), Petrer (ALICANTE), Redován (ALICANTE), Villena (ALICANTE)
26/01/2025 1:00;CVTA00005 A;CENTRO DE BUCEO LA GALERA;PASEO CLUB NÁUTICO MORAIRA, MUELLE PESQUERO;3724;3;ALICANTE;128;TEULADA;LA MARINA ALTA;buceolagalera@gmail.com;646674766;;http://www.buceolagalera.es;;Calp (ALICANTE), Poble Nou de Benitatxell, el/ Benitachell (ALICANTE), Teulada (ALICANTE)
26/01/2025 1:00;CVTA00006 A;15 CUMBRES;CALLE ALEMANIA, 4-ENTLO.;3003;3;ALICANTE;14;ALACANT/ALICANTE;L'ALACANTI;info@15cumbres.com;618686111;;http://15cumbres.com;;Busot (ALICANTE), Callosa d'en Sarrià (ALICANTE), Confrides (ALICANTE), La Nucia (ALICANTE), Villena (ALICANTE)
26/01/2025 1:00;CVTA00010 A;SCUBA MORAIRA;CARRETERA MORAIRA-CALPE, 130;3724;3;ALICANTE;128;TEULADA;LA MARINA ALTA;info@scubamoraira.com;638088972;;http://www.scubamoraira.com;;Benissa (ALICANTE), Calp (ALICANTE), Poble Nou de Benitatxell, el/ Benitachell (ALICANTE), Teulada (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00011 A;TRAMUNTANA AVENTURA;CALLE SEGURA, 13-BJ-D;3004;3;ALICANTE;14;ALACANT/ALICANTE;L'ALACANTI;info@tramuntanaaventura.es;616351506;;http://tramuntanaaventura.es;;Alcoi/Alcoy (ALICANTE), Banyeres de Mariola (ALICANTE), Confrides (ALICANTE), Crevillent (ALICANTE), El Castell de Guadalest (ALICANTE), La Vall de Laguar (ALICANTE), La Vall d'Ebo (ALICANTE), Monforte del Cid (ALICANTE), Novelda (ALICANTE), Tàrbena (ALICANTE)
26/01/2025 1:00;CVTA00012 A;CENTRO EXCURSIONISTA PEGO;CALLE LLAVADOR (APTO..17), S/N;3780;3;ALICANTE;102;PEGO;LA MARINA ALTA;cexcursionistapego@gmail.com;686 090 511;;https://www.cepego.com;;Alcoi/Alcoy (ALICANTE), Cocentaina (ALICANTE), La Vall d'Alcalà (ALICANTE), La Vall de Laguar (ALICANTE), La Vall d'Ebo (ALICANTE), L'Atzúbia (ALICANTE), Parcent (ALICANTE), Pego (ALICANTE), Planes (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00013 A;ANTHIAS SANTA POLA;CALLE MUELLE DE PONIENTE - CLUB NAUTICO - PANTALAN 6, S/N;3130;3;ALICANTE;121;SANTA POLA;EL BAIX VINALOPO;santapola@anthias.es;691696601;;http://www.anthias.es;;Alacant/Alicante (ALICANTE), Santa Pola (ALICANTE)
26/01/2025 1:00;CVTA00014 A;AKTIVE-LIFE SPORTS & EVENTS;CALLE TRUENO POLÍGONO INDUSTRIAL PLA DE LA VALLONGA, 53;3006;3;ALICANTE;14;ALACANT/ALICANTE;EL BAIX VINALOPO;heike@aktive-life.com;669497127;;https://www.aktive-life.com/es/;;Alcoi/Alcoy (ALICANTE), Banyeres de Mariola (ALICANTE), Beniardá (ALICANTE), Benidorm (ALICANTE), Benissa (ALICANTE), Bolulla (ALICANTE), Castalla (ALICANTE), Dénia (ALICANTE), El Castell de Guadalest (ALICANTE), Finestrat (ALICANTE)
26/01/2025 1:00;CVTA00015 A;DIVING STONES;PASEO DE COLÓN, 1,CASETA 3;3501;3;ALICANTE;31;BENIDORM;LA MARINA BAIXA;reservas@revolutiondive.com;618 406 991;;http://www.divingstones.com;;Benidorm (ALICANTE)
26/01/2025 1:00;CVTA00017 A;ALI-SUB BUCEO;AVENIDA DEL PUERTO, S/N. CLUB NÁUTICO;3570;3;ALICANTE;139;LA VILA JOIOSA/VILLAJOYOSA;LA MARINA BAIXA;buceo@ali-sub.com;966810107;966810107;https://www.ali-sub.com;;Benidorm (ALICANTE), La Vila Joiosa/Villajoyosa (ALICANTE)
26/01/2025 1:00;CVTA00018 A;TURURAC EFESENDRA;AVENIDA GANDIA, 2;3700;3;ALICANTE;63;DÉNIA;LA MARINA ALTA;tururac@tururac.com;630992488;965782360;http://www.tururac.com;;Beniarbeig (ALICANTE), Bolulla (ALICANTE), Callosa d'en Sarrià (ALICANTE), Castell de Castells (ALICANTE), Dénia (ALICANTE), La Vall de Laguar (ALICANTE), La Vall d'Ebo (ALICANTE), Tavernes de la Valldigna (VALENCIA), Xàtiva (VALENCIA)
26/01/2025 1:00;CVTA00020 A;SILVOTURISMO;CALLE COLON, 53;3610;3;ALICANTE;104;PETRER;EL VINALOPO MITJA/EL VINALOPO;correo@silvoturismo.com;965376231;;http://silvoturismo.com;;La Vall de Laguar (ALICANTE), Venta del Moro (VALENCIA)
26/01/2025 1:00;CVTA00021 A;GRIETA AVENTURA;CALLE CERVANTES, 19;3810;3;ALICANTE;35;BENILLOBA;EL COMTAT;info@grieta-aventura.com;659 581 937;;https://www.grieta-aventura.com;;Alcoi/Alcoy (ALICANTE), Banyeres de Mariola (ALICANTE), Bolulla (ALICANTE), Castell de Castells (ALICANTE), Confrides (ALICANTE), Dénia (ALICANTE), El Castell de Guadalest (ALICANTE), Penàguila (ALICANTE), Petrer (ALICANTE), Polop (ALICANTE)
26/01/2025 1:00;CVTA00022 A;IBINATURA;CALLE MAYOR, 26;3440;3;ALICANTE;79;IBI;L'ALCOIA;info@ibinatura.com;610057522;;;;Ibi (ALICANTE)
26/01/2025 1:00;CVTA00023 A;KAYAK JAVEA / KAYAK DENIA;CARRETERA CABO SANT ANTONIO - BUZÓN 1267, 3;3730;3;ALICANTE;82;XÀBIA/JÁVEA;LA MARINA ALTA;info@kayakjavea.com;679753761;;https://www.kayakjavea.com;;Dénia (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00027 A;ALICANTE AVENTURA;PARTIDA PARAISO, 66;3570;3;ALICANTE;139;LA VILA JOIOSA/VILLAJOYOSA;LA MARINA BAIXA;alicanteaventura.experience@gmail.com;622197848;;https://alicanteaventura.com;;Alcoi/Alcoy (ALICANTE), Altea (ALICANTE), Bolulla (ALICANTE), Callosa de Segura (ALICANTE), Confrides (ALICANTE), Dénia (ALICANTE), La Vall de Laguar (ALICANTE), La Vila Joiosa/Villajoyosa (ALICANTE), Ondara (ALICANTE), Orxeta (ALICANTE), Petrer (ALICANTE), Poble Nou de Benitatxell, el/ Benitachell (ALICANTE), Polop (ALICANTE), Redován (ALICANTE), Relleu (ALICANTE), Teulada (ALICANTE), Villena (ALICANTE), Xàbia/Jávea (ALICANTE), Anna (VALENCIA), Cortes de Pallás (VALENCIA), Enguera (VALENCIA), Millares (VALENCIA), Quesa (VALENCIA), Tavernes de la Valldigna (VALENCIA), Tous (VALENCIA), València (VALENCIA), Vallada (VALENCIA)
26/01/2025 1:00;CVTA00028 A;MARCO POLO EXPEDICIONES;AVENIDA DE EUROPA, 11;3503;3;ALICANTE;31;BENIDORM;LA MARINA BAIXA;info@marcopoloexp.es;965 863 399;;http://www.marcopoloexp.es/es/;;Altea (ALICANTE), Benidorm (ALICANTE), Callosa d'en Sarrià (ALICANTE), L'Alfàs del Pi (ALICANTE)
26/01/2025 1:00;CVTA00029 A;CENTRO DE BUCEO SCUBA ELX;PASAJE GRANADA, 5- LOCAL 3;3130;3;ALICANTE;121;SANTA POLA;EL BAIX VINALOPO;info@scubaelx.com;663237389;;http://scubaelx.com;;Santa Pola (ALICANTE)
26/01/2025 1:00;CVTA00031 A;ARRELS, GESTIÓ  I PROMOCIÓ DEL MEDI;CALLE PRIMER DE MAIG, 4;3804;3;ALICANTE;9;ALCOI/ALCOY;L'ALCOIA;arrelsmediambient@gmail.com;659987014;;http://arrelsmediambient.net;;Alcoi/Alcoy (ALICANTE), Alcoleja (ALICANTE), Benasau (ALICANTE), Beniardá (ALICANTE), Benifallim (ALICANTE), Benifato (ALICANTE), Castalla (ALICANTE), Confrides (ALICANTE), Penàguila (ALICANTE), Torre de les Maçanes, la / Torremanzanas (ALICANTE)
26/01/2025 1:00;CVTA00032 A;CENTRO DE BUCEO SCÓRPORA;CALLE PAU CASALS, 6;3581;3;ALICANTE;11;L'ALFÀS DEL PI;LA MARINA BAIXA;scorpora.albir@hotmail.com;966867305;;http://centrobuceoscorpora.com;;L'Alfàs del Pi (ALICANTE)
26/01/2025 1:00;CVTA00034 A;S.D. CLUB NAUTICO  CAMPELLO;PARTIDA LA ILLETA, S/N;3560;3;ALICANTE;50;EL CAMPELLO;L'ALACANTI;info@cncampello.com;965633400;965631964;http://www.cncampello.com;;El Campello (ALICANTE)
26/01/2025 1:00;CVTA00035 A;NAUTICA PEREZ;CARRETERA LAS MARINAS, 203;3700;3;ALICANTE;63;DÉNIA;LA MARINA ALTA;info@nauticaperez.com;965785976;;http://nauticaperez.com;;Dénia (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00038 A;AESTAS ECOTURISMO;CALLE DR. BARRAQUER, 41-2º;3760;3;ALICANTE;95;ONDARA;LA MARINA ALTA;info@aestas.es;667523604;;;;Benidorm (ALICANTE), Calp (ALICANTE), Dénia (ALICANTE), Finestrat (ALICANTE)
26/01/2025 1:00;CVTA00039 A;BUCEO CABO LA NAO;CALLE CANAL SUR, 2;3730;3;ALICANTE;82;XÀBIA/JÁVEA;LA MARINA ALTA;buceo@cabolanao.com;+34 609 672 856;;https://cabolanao.com;;Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00040 A;POSIDONIA ECOSPORTS;CALLE BARRELA, 4-LOCAL2;3110;3;ALICANTE;90;MUTXAMEL;L'ALACANTI;info@posidoniaecosports.com;665 908 763;;https://posidoniaecosports.com;;Alacant/Alicante (ALICANTE), Altea (ALICANTE), Benidorm (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00041 A;MARDAYS;PUERTO MARINA NOU FONTANA, PLAYA DEL ARENAL, FTE. PARADOR, S/N;3730;3;ALICANTE;82;XÀBIA/JÁVEA;LA MARINA ALTA;info@mardaysresort.com;665 496 333;;https://www.mardaysresort.com/;;Dénia (ALICANTE), Xàbia/Jávea (ALICANTE)
26/01/2025 1:00;CVTA00042 A;NAUTIMED;PASEO VISTALEGRE, S/N;3180;3;ALICANTE;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;info@nautimed.com;609061106;;http://nautimed.com;;Alacant/Alicante (ALICANTE), Guardamar del Segura (ALICANTE), Orihuela (ALICANTE), Torrevieja (ALICANTE)
26/01/2025 1:00;CVTA00044 A;YEGUADA SALINAS;PARAJE PARAJE CASA BIAR, 32 A;3638;3;ALICANTE;116;SALINAS;L'ALT VINALOPO/ALTO VINALOPO;fjosecarbonell70@gmail.com;609967497;;http://yeguadasalinas.es;;Salinas (ALICANTE)
26/01/2025 1:00;CVTA00045 A;FLYING CRUISER;PASEO CONDE DE VALLELLANO, S/N;3001;3;ALICANTE;14;ALACANT/ALICANTE;L'ALACANTI;info@flyingcruiser.com;652965646;;http://flyingcruiser.com;;Alacant/Alicante (ALICANTE)
26/01/2025 1:00;CVTA00046 A;VOLANTE CHARTERS;CALLE MENORCA, 9;3183;3;ALICANTE;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;kev2109@hotmail.com;636159885;;http://costa-boat-trips.eu;;Alacant/Alicante (ALICANTE), Torrevieja (ALICANTE)
26/01/2025 1:00;CVTA00047 A;ESCUELA DE VELA LA ESCANDALOSA;PLAYA ACEQUIÓN-PUERTO DEPORTIVO, S/N;3181;3;ALICANTE;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;info@laescandalosa.com;608665054;;http://laescandalosa.com;;Torrevieja (ALICANTE)
26/01/2025 1:00;CVTA00048 A;CLUB NAUTICO MARINA INTERNACIONAL;PLAYA ACEQUIÓN, S/N;3181;3;ALICANTE;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;info@cnmi.es;965 713 650;965714266;https://www.puertodeportivomarinainternacional.com;;Alacant/Alicante (ALICANTE), Torrevieja (ALICANTE)
26/01/2025 1:00;CVTA00050 A;COSTA BLANCA SAILING;AVENIDA NIZA, 37;3540;3;ALICANTE;14;ALACANT/ALICANTE;L'ALACANTI;info@costablancasailing.co.uk;661785305;;http://costablancasailing.co.uk;;Alacant/Alicante (ALICANTE)
26/01/2025 1:00;CVTA00053 A;PARAPENTE SANTA POLA;PARTIDA SOL DEL CAMP, 172;3698;3;ALICANTE;2;AGOST;EL BAIX VINALOPO;info@parapentesantapola.es;689866111;;https://www.parapentesantapola.es/;;Agost (ALICANTE), Santa Pola (ALICANTE)
26/01/2025 1:00;CVTA00054 A;ACTIVIDADES NAUTICAS TORREVIEJA - Flyboard Torrevieja;PASEO VISTALEGRE, PUERTO DE MARINA SALINAS, S/N;3181;3;ALICANTE;133;TORREVIEJA;EL BAIX SEGURA/LA VEGA BAJA;reservas@flyboardtorrevieja.com;655 023 039;;http://flyboardtorrevieja.com;;Torrevieja (ALICANTE)
